nlc,Station,Note,Entry_Week,Entry_Saturday,Entry_Sunday,Exit_Week,Exit_Saturday,Exit_Sunday,AnnualEntryExit_Mill
500,Acton Town, ,9205,6722,4427,8899,6320,4304,5.77
502,Aldgate,,9887,2191,1484,10397,2587,1772,5.57
503,Aldgate East, ,12820,7040,5505,12271,6220,5000,7.66
505,Alperton, ,4611,3354,2433,4719,3450,2503,3.01
506,Amersham, ,4182,1709,1004,3938,1585,957,2.34
507,Angel, ,25812,21332,12051,25367,22245,11876,16.63
508,Archway, ,12752,8814,5608,12092,7089,5001,7.74
509,Arnos Grove, ,6844,5734,3375,6392,5449,3138,4.31
510,Arsenal, ,4243,4085,2255,3752,4439,2301,2.73
511,Baker Street, ,38663,25555,17573,37818,24929,16919,24.01
512,Balham, ,17607,13470,8116,17957,12687,8472,11.34
513,Bank,B,76119,14880,8593,78854,16752,8861,41.88
501,Barbican, ,16960,5535,3481,16968,5449,3363,9.56
514,Barking, ,20672,13856,9344,19993,13352,9042,12.79
515,Barkingside, ,1479,597,388,1485,629,385,0.86
516,Barons Court, ,11860,6182,4129,10502,4804,3828,6.70
517,Bayswater, ,8464,8995,7492,8419,8720,6916,6.04
518,Becontree, ,3812,3176,1420,3429,3068,1261,2.31
519,Belsize Park, ,9696,5532,3742,8779,4687,3500,5.63
787,Bermondsey, ,10816,6996,4750,10145,6496,4664,6.56
520,Bethnal Green, ,23118,17518,12003,20415,15198,11392,14.10
521,Blackfriars, ,22608,7774,5096,21708,6245,6435,12.62
522,Blackhorse Road, ,10204,7547,5003,9202,6188,4402,6.18
524,Bond Street, ,56875,46575,26939,56762,46581,25629,36.70
525,Borough, ,6727,3965,2664,6689,4207,2747,4.14
526,Boston Manor, ,3088,2079,1304,2882,1781,1282,1.86
527,Bounds Green, ,8987,6848,4384,8133,5816,4227,5.50
528,Bow Road, ,7292,5206,3512,7207,4574,3503,4.59
529,Brent Cross,,3098,2124,1496,2859,1903,1485,1.89
778,Brixton,,35088,21979,14697,30573,20930,14685,20.58
530,Bromley-by-Bow,,4287,2915,2077,4113,2680,1928,2.65
531,Buckhurst Hill,,2756,1393,681,2531,1170,639,1.55
532,Burnt Oak,,5349,3623,2266,4748,3148,2251,3.17
534,Caledonian Road,,8656,6742,4059,7928,5741,4215,5.33
535,Camden Town,,24727,32168,15970,26254,34845,24616,18.78
788,Canada Water,,13153,12194,8567,13321,11527,8684,8.95
852,Canary Wharf,,70506,24419,17890,74908,26805,18878,41.62
884,Canning Town,,12614,9715,7244,12249,8980,6934,8.10
536,Cannon Street,,8520,1707,0,7155,1054,0,4.11
537,Canons Park,,2603,1388,836,2540,1235,836,1.54
539,Chalfont & Latimer ,,2406,826,470,2227,753,424,1.31
540,Chalk Farm,,7640,6524,5365,6324,4958,3482,4.65
541,Chancery Lane,,26200,5384,2765,28574,5962,2706,14.77
718,Charing Cross,,34806,30764,17998,34185,25129,14812,22.30
543,Chesham,,811,395,221,646,319,216,0.43
544,Chigwell,,732,307,156,576,272,160,0.38
545,Chiswick Park,,3593,2172,1314,3715,2059,1294,2.22
546,Chorleywood,,1801,707,399,1690,655,360,1.00
547,Clapham Common,,12644,11386,7073,13807,12382,7203,8.77
548,Clapham North,,7767,7982,4932,9258,7779,4968,5.71
549,Clapham South,,11988,8488,5306,11442,7483,5225,7.38
550,Cockfosters,,2575,2092,1172,2483,1977,1222,1.63
551,Colindale,,6395,4097,2747,5788,3540,2522,3.79
552,Colliers Wood,,8528,6180,4102,7922,5404,3897,5.24
553,Covent Garden,,15098,30344,16600,13039,36838,19508,12.74
554,Croxley,,1294,438,244,1303,425,224,0.73
555,Dagenham East,,3527,2104,1293,3344,1932,1138,2.09
556,Dagenham Heathway,,6060,3916,2898,5718,3922,2820,3.72
557,Debden,,3388,1035,474,3033,865,426,1.78
558,Dollis Hill,,6407,4541,3127,5289,4298,3329,3.80
560,Ealing Broadway,,28393,19066,12511,27510,17947,12227,17.53
561,Ealing Common,,5320,4040,2557,5343,3885,2680,3.42
562,Earl's Court,,31919,29245,20835,29205,28104,20083,20.86
563,East Acton,,5849,3980,2678,5816,3425,2537,3.64
565,East Finchley,,9556,6193,3591,9005,5264,3548,5.71
566,East Ham,,19063,14630,10532,19148,13897,10269,12.38
567,East Putney,,9400,7341,4458,8615,6508,3964,5.77
564,Eastcote,,4009,2378,1251,3778,2195,1199,2.35
