nlc,Station,Borough,Note,Entry_Week,Entry_Saturday,Entry_Sunday,Exit_Week,Exit_Saturday,Exit_Sunday,AnnualEntryExit_Mill,
500,Acton Town,Ealing, ,9861,7278,5000,9540,6919,4972,6.235045,
502,Aldgate   ,City of London, ,13645,3700,2911,12787,4796,3847,7.52781,
503,Aldgate East,Tower Hamlets, ,20579,15511,12110,19291,12510,9841,12.839311,
505,Alperton  ,Brent, ,4945,3476,2550,5089,3540,2569,3.205455,
506,Amersham  ,Chiltern, ,3680,1759,1169,4054,1985,1132,2.287149,
507,Angel     ,Islington, ,31112,22137,15424,30391,24267,14798,19.756365,
508,Archway   ,Islington, ,16017,11253,7739,14900,9598,7315,9.794439,
509,Arnos Grove ,Enfield, ,7217,5852,4046,6674,5197,3778,4.550587,
510,Arsenal   ,Islington, ,4377,4682,2710,3724,3948,2448,2.802635,
511,Baker Street,City of Westminster, ,47234,31530,25035,45041,29563,23384,29.379132,
512,Balham    ,Wandsworth, ,22536,16888,10766,21872,15523,10562,14.178948,
513,Bank & Monument      ,City of London,B,107093,29506,13878,102041,28498,13001,57.512971,
501,Barbican  ,City of London, ,19757,7755,4786,19369,8025,4774,11.283478,
514,Barking   ,Barking and Dagenham, ,26914,18017,11626,24573,15259,10385,16.055212,
515,Barkingside ,Redbridge, ,2505,1221,764,2208,1178,747,1.406286,
516,Barons Court,Hammersmith and Fulham, ,12462,7438,5166,11231,6120,4933,7.295186,
517,Bayswater ,City of Westminster, ,7476,8002,6722,7014,7561,5894,5.21959,
518,Becontree ,Barking and Dagenham, ,5843,3522,2233,5531,3329,2113,3.490288,
519,Belsize Park,Camden, ,10638,6357,4654,9131,5704,4276,6.155599,
787,Bermondsey,Southwark, ,16248,12196,8478,15056,11623,8559,10.163683,
520,Bethnal Green,Tower Hamlets, ,24766,22025,15749,23300,19679,15360,16.164737,
521,Blackfriars ,City of London,A,24574,9580,6893,23140,7613,5598,13.702647,
522,Blackhorse Road      ,Waltham Forest, ,13559,10055,6993,12522,8626,6400,8.360092,
524,Bond Street ,City of Westminster, ,57022,49636,29840,55707,48422,29479,37.119274,
525,Borough   ,Southwark, ,8795,5651,3698,8270,5909,3756,5.358351,
526,Boston Manor,Ealing, ,3610,2483,1813,3469,2180,1736,2.242854,
527,Bounds Green,Haringey, ,10251,8186,5576,9587,7091,5422,6.4623,
528,Bow Road  ,Tower Hamlets, ,9952,7011,4848,9214,6080,4859,6.102443,
529,Brent Cross ,Barnet, ,4126,2868,2358,3831,2608,2197,2.566618,
778,Brixton   ,Lambeth, ,48279,38563,27694,45229,37311,27017,30.830921,
530,Bromley-by-Bow       ,Tower Hamlets, ,6194,3742,2438,5803,3295,2387,3.68584,
531,Buckhurst Hill       ,Epping Forest, ,3499,2164,1151,3302,1859,1120,2.063838,
532,Burnt Oak ,Barnet, ,7201,4668,3228,6797,4343,3106,4.383772,
534,Caledonian Road      ,Islington, ,9966,7305,5262,9122,6171,4851,6.126683,
535,Camden Town ,Camden, ,29308,36786,15173,29686,44291,31556,21.898497,
788,Canada Water,Southwark, ,18516,17557,12558,18874,17740,12566,12.77743,
852,Canary Wharf,Tower Hamlets, ,93942,32437,23671,96111,34208,25354,54.441424,
884,Canning Town,Newham, ,17047,13715,10124,16079,12610,9643,10.916031,
536,Cannon Street,City of London,,13998,3864,2177,13143,3172,2103,7.485065,
537,Canons Park ,Harrow, ,4578,2973,1954,4371,2717,1877,2.786006,
539,Chalfont & Latimer   ,Chiltern, ,2458,1140,600,2549,931,469,1.437534,
540,Chalk Farm,Camden, ,8801,8922,8406,7466,6959,5342,5.752495,
541,Chancery Lane,City of London, ,29339,8145,4439,29996,8011,4095,16.355373,
718,Charing Cross,City of Westminster, ,34982,32281,18343,28683,21996,11499,20.690327,
543,Chesham   ,Chiltern, ,1703,794,493,1236,697,425,0.875261,
544,Chigwell  ,Epping Forest, ,1107,443,207,836,385,207,0.559061,
545,Chiswick Park,Ealing, ,3252,1933,1389,3783,1854,1521,2.148469,
546,Chorleywood ,Three Rivers, ,1905,767,474,1907,1464,496,1.137678,
547,Clapham Common       ,Lambeth, ,14541,12625,8682,15777,13370,9113,10.072099,
548,Clapham North,Lambeth, ,9494,9612,6224,11388,9679,6316,7.026138,
549,Clapham South,Wandsworth, ,13651,10100,6823,13154,8996,6910,8.584904,
550,Cockfosters ,Enfield, ,2812,2634,1679,2676,2375,1688,1.847585,
551,Colindale ,Barnet, ,9835,6856,4466,9083,5705,4129,5.946531,
552,Colliers Wood,Merton, ,10356,8116,5700,9636,7236,5476,6.515664,
553,Covent Garden,City of Westminster, ,16937,25964,16573,22501,27921,15451,14.66925,
554,Croxley   ,Three Rivers, ,1928,762,416,1766,699,412,1.059406,
555,Dagenham East,Barking and Dagenham, ,4949,3119,1532,4463,2740,1400,2.858892,
556,Dagenham Heathway    ,Barking and Dagenham, ,10028,6085,3872,9732,5772,3745,6.065247,
557,Debden    ,Epping Forest, ,4423,1890,1003,4116,1693,960,2.4625,
558,Dollis Hill ,Brent, ,6462,4596,3433,3163,2037,1746,3.085602,
560,Ealing Broadway      ,Ealing, ,27945,18330,12524,25623,17010,12048,16.840132,
561,Ealing Common,Ealing, ,5467,4121,2764,5490,3948,2742,3.516563,
562,Earl's Court,Kensington and Chelsea, ,31241,27303,20093,29686,26459,18741,20.501361,
563,East Acton,Hammersmith and Fulham, ,6387,4457,3271,6241,3888,3180,4.009433,
565,East Finchley,Barnet, ,12207,7910,5078,11408,6842,5106,7.342555,
566,East Ham  ,Newham, ,24072,18326,11485,23283,16339,10734,15.094316,
567,East Putney ,Wandsworth, ,10272,6639,4377,8927,5698,4034,5.99512,
564,Eastcote  ,Hillingdon, ,4964,2737,1574,4426,2523,1554,2.833742,
568,Edgware   ,Barnet, ,7702,5236,3946,7303,4951,3690,4.776513,
774,Edgware Road (Bak)   ,City of Westminster,,7098,4873,3066,7201,5232,3037,4.503184,
569,Edgware Road (Cir)   ,City of Westminster, ,11917,7432,5262,11215,7356,4716,7.210074,
570,Elephant & Castle    ,Southwark, ,31209,22095,15434,28603,20562,14029,19.088917,
571,Elm Park  ,Havering, ,5161,2598,1547,4959,2433,1544,3.004341,
542,Embankment,City of Westminster, ,33187,29244,17479,32497,27726,16114,21.562479,
572,Epping    ,Epping Forest, ,5748,3611,2387,5018,3003,2064,3.330335,
574,Euston    ,Camden, ,62670,50142,42913,64227,49927,39304,42.159332,
575,Euston Square,Camden, ,25477,9658,8373,25638,9575,7672,14.878866,
576,Fairlop   ,Redbridge, ,1956,1111,673,1769,1067,659,1.134269,
577,Farringdon,Islington, ,43640,9944,6679,43109,10688,6124,23.775738,
578,Finchley Central     ,Barnet, ,9578,6357,3604,9125,5554,3662,5.779925,
579,Finchley Road,Camden, ,15958,11178,8416,15189,10167,7872,9.951123,
580,Finsbury Park,Islington,A,44703,41631,24728,42792,33027,23215,28.847088,
581,Fulham Broadway      ,Hammersmith and Fulham, ,16528,15312,7943,16504,12682,7339,10.714422,
582,Gants Hill,Redbridge, ,10872,6659,4786,10299,6227,4738,6.588251,
583,Gloucester Road      ,Kensington and Chelsea, ,22330,17405,13861,20832,16116,12255,14.203922,
584,Golders Green,Barnet, ,13833,9833,7785,13167,8937,7352,8.700123,
585,Goldhawk Road,Hammersmith and Fulham, ,3469,2346,1427,3232,1957,1436,2.088026,
586,Goodge Street,Camden, ,15239,7487,4120,14839,7192,3816,8.841266,
587,Grange Hill ,Redbridge, ,1211,563,309,1042,460,275,0.657661,
588,Great Portland Street,City of Westminster, ,15167,5074,3943,14125,4678,3266,8.343311,
590,Green Park,City of Westminster, ,59805,39885,26464,64785,48690,31599,39.552887,
589,Greenford ,Ealing, ,7596,5234,3273,7475,4842,3161,4.716521,
591,Gunnersbury ,Hounslow, ,9848,3868,2759,8819,3421,2475,5.410585,
592,Hainault  ,Redbridge, ,6077,3466,2245,5766,3238,2211,3.607791,
593,Hammersmith (Dis)    ,Hammersmith and Fulham, ,46414,31125,21769,45041,29837,21049,28.834401,
773,Hammersmith (H&C)    ,Hammersmith and Fulham, ,18038,10792,7481,16662,10028,6794,10.703965,
594,Hampstead ,Camden, ,6681,5245,4297,7008,5488,4790,4.557566,
595,Hanger Lane ,Ealing, ,6753,3895,2836,6072,3508,2584,3.949461,
596,Harlesden ,Brent, ,5152,2735,1734,4870,2549,1613,3.007807,
597,Harrow & Wealdstone  ,Harrow, ,8400,5469,3452,7763,4642,3122,5.002877,
598,Harrow-on-the-Hill   ,Harrow, ,15963,10877,7617,16573,10807,7643,10.259516,
779,Hatton Cross,Hillingdon, ,5128,3917,2849,4712,3481,2672,3.199955,
781,Heathrow Terminal 4,Hillingdon, ,3260,3499,4020,2912,3507,3127,2.347501,
783,Heathrow Terminal 5,Hillingdon, ,5633,6101,6688,4731,4900,5310,3.902026,
780,Heathrow Terminals 123,Hillingdon, ,10719,11903,12149,9339,9429,9976,7.489313,
601,Hendon Central       ,Barnet, ,13446,7883,5896,12423,6779,5337,7.970028,
602,High Barnet ,Barnet, ,6116,3878,2444,5701,3399,2314,3.648827,
605,High Street Kensington,Kensington and Chelsea, ,20934,15572,11114,20426,15787,10374,13.36254,
603,Highbury & Islington ,Islington, ,28475,22296,14407,28502,22142,14712,18.443978,
604,Highgate  ,Haringey, ,8953,6325,4013,8419,5569,3939,5.482772,
606,Hillingdon,Hillingdon, ,3039,1910,1413,2902,1716,1375,1.856117,
607,Holborn   ,Camden, ,62752,40111,25147,68154,44935,25507,40.530196,
608,Holland Park,Kensington and Chelsea, ,5466,3720,2572,5161,3522,2529,3.366174,
609,Holloway Road,Islington, ,10741,7404,5042,10597,6767,5013,6.728651,
610,Hornchurch,Havering, ,3567,1740,693,3383,1734,747,2.023958,
611,Hounslow Central     ,Hounslow, ,6258,5345,3179,6131,4428,3061,4.010773,
612,Hounslow East,Hounslow, ,6727,5463,4078,6996,5412,4019,4.515142,
613,Hounslow West,Hounslow, ,5502,4420,3488,5180,4133,3262,3.545552,
614,Hyde Park Corner     ,City of Westminster, ,9220,10705,11936,9524,14268,11725,7.436827,
615,Ickenham  ,Hillingdon, ,1970,1064,656,1978,1051,726,1.190362,
616,Kennington,Southwark, ,8917,6899,4754,8074,6113,4632,5.529121,
617,Kensal Green,Brent, ,4332,3203,2045,3680,2643,1890,2.563193,
618,Kensington (Olympia) ,Kensington and Chelsea, ,1622,7044,4193,1594,6397,4216,2.008711,
619,Kentish Town,Camden, ,17315,11821,8331,15971,10262,7328,10.493555,
620,Kenton    ,Brent, ,3479,2250,1419,3329,2151,1380,2.116417,
621,Kew Gardens ,Richmond, ,5456,4602,3249,5199,4332,3351,3.549683,
622,Kilburn   ,Brent, ,12956,10233,7483,12285,9219,7296,8.269438,
623,Kilburn Park,Brent, ,5259,4379,3153,5071,4030,3057,3.417148,
625,King's Cross St. Pancras  ,Camden, ,138159,119658,98850,139242,112293,90457,93.413018,
624,Kingsbury ,Brent, ,8169,5015,3473,7871,4717,3384,4.968747,
626,Knightsbridge,Kensington and Chelsea, ,28118,39428,27435,26236,32616,20007,20.296928,
627,Ladbroke Grove       ,Kensington and Chelsea, ,9301,9099,4845,8446,6574,3774,5.813508,
628,Lambeth North,Lambeth, ,5166,4610,3203,4675,3988,2712,3.285854,
629,Lancaster Gate       ,City of Westminster, ,9695,7762,6364,9224,7630,5612,6.293475,
630,Latimer Road,Kensington and Chelsea, ,4448,2172,1496,4221,1870,1370,2.572535,
631,Leicester Square     ,City of Westminster, ,58943,88890,54688,53914,85601,49034,43.745951,
632,Leyton    ,Waltham Forest, ,21859,19565,13504,21672,15741,12890,14.406501,
633,Leytonstone ,Waltham Forest, ,17702,13410,9372,17075,12573,9188,11.244737,
634,Liverpool Street     ,City of London, ,115738,65331,56846,118058,66445,66113,73.257321,
635,London Bridge,Southwark, ,115478,86367,54213,109518,82780,51631,71.964428,
636,Loughton  ,Epping Forest, ,5342,3371,1885,5371,3157,1892,3.272688,
637,Maida Vale,City of Westminster, ,5557,4132,2822,4940,3569,2713,3.382758,
638,Manor House ,Hackney, ,14218,12504,9495,13472,10238,8937,9.275642,
639,Mansion House,City of London, ,11018,2881,2004,9251,1800,1212,5.561213,
640,Marble Arch ,City of Westminster, ,22499,25984,19939,20480,21801,15386,15.442682,
641,Marylebone,City of Westminster, ,19933,13525,8557,20151,13288,8219,12.525312,
642,Mile End  ,Tower Hamlets, ,25573,21295,14692,23886,18851,14291,16.310716,
643,Mill Hill East       ,Barnet,,2293,1159,717,2047,1343,809,1.318158,
646,Moor Park ,Three Rivers, ,1607,608,334,1491,598,342,0.88639,
645,Moorgate  ,City of London,A,46906,6260,4236,51048,7736,5128,26.06263,
647,Morden    ,Merton, ,15288,10346,7166,14046,9319,6927,9.275569,
