,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,1,,00:00,20:00,PGSTR,,{},{},,,,,2021-10-12T22:45:48Z,{}
1,2,1,,00:00,20:00,PGEND,,{},{},,,,,2021-10-12T23:41:26Z,{}
2,3,1,,00:00,20:00,ANTHEM,,{},{},,,,,,
3,4,1,,00:00,20:00,PSTR,Period Start- Local time: 7:43 EDT,"{'C': '77', 'R': '17', 'L': '43', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '27', 'D2': '81', 'G': '88'}",,,,,2021-10-12T23:44:06Z,{}
4,5,1,EV,00:00,20:00,FAC,PIT won Neu. Zone - PIT #77 CARTER vs TBL #21 POINT,"{'C': '77', 'R': '17', 'L': '43', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '27', 'D2': '81', 'G': '88'}",Jeff Carter,Brayden Point,,,2021-10-12T23:44:06Z,"{'x': 0.0, 'y': 0.0}"
5,6,1,EV,00:18,19:42,HIT,"TBL #18 PALAT HIT PIT #77 CARTER, Off. Zone","{'C': '77', 'R': '17', 'L': '43', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '21', 'R': '86', 'L': '18', 'D1': '27', 'D2': '81', 'G': '88'}",Ondrej Palat,Jeff Carter,,,2021-10-12T23:44:24Z,"{'x': 46.0, 'y': 40.0}"
6,7,1,,00:38,19:22,STOP,PUCK IN NETTING,"{'C': '9', 'R': '42', 'L': '16', 'D1': '6', 'D2': '28', 'G': '35'}","{'C': '91', 'D1': '44', 'D2': '77', 'G': '88'}",,,,,2021-10-12T23:44:44Z,{}
7,8,1,EV,00:38,19:22,FAC,TBL won Neu. Zone - PIT #9 RODRIGUES vs TBL #71 CIRELLI,"{'C': '9', 'R': '42', 'L': '16', 'D1': '6', 'D2': '28', 'G': '35'}","{'C': '91', 'D1': '44', 'D2': '77', 'G': '88'}",Anthony Cirelli,Evan Rodrigues,,,2021-10-12T23:45:07Z,"{'x': 0.0, 'y': 0.0}"
8,9,1,EV,00:53,19:07,HIT,"TBL #71 CIRELLI HIT PIT #28 PETTERSSON, Off. Zone","{'C': '9', 'R': '42', 'L': '16', 'D1': '6', 'D2': '28', 'G': '35'}","{'C': '91', 'D1': '44', 'D2': '77', 'G': '88'}",Anthony Cirelli,Marcus Pettersson,,,2021-10-12T23:45:22Z,"{'x': 50.0, 'y': -39.0}"
9,10,1,EV,1:03,18:57,SHOT,"TBL ONGOAL - #91 STAMKOS, Wrist, Off. Zone, 42 ft.","{'C': '9', 'R': '42', 'L': '16', 'D1': '6', 'D2': '28', 'G': '35'}","{'C': '91', 'D1': '24', 'D2': '98', 'G': '88'}",,,,,,
10,11,1,,1:03,18:57,STOP,GOALIE STOPPED (AFTER SOG),"{'C': '53', 'L': '23', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '91', 'D1': '24', 'D2': '98', 'G': '88'}",,,,,,
11,12,1,EV,1:03,18:57,FAC,PIT won Def. Zone - PIT #53 BLUEGER vs TBL #79 COLTON,"{'C': '53', 'L': '23', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '79', 'R': '10', 'D1': '24', 'D2': '98', 'G': '88'}",,,,,,
12,13,1,EV,1:18,18:42,TAKE,"TBL TAKEAWAY - #7 JOSEPH, Off. Zone","{'C': '53', 'L': '23', 'D1': '8', 'D2': '58', 'G': '35'}","{'C': '79', 'R': '10', 'D1': '24', 'D2': '98', 'G': '88'}",,,,,,
