,result,about,coordinates,players,team
0,"{'event': 'Game Scheduled', 'eventCode': 'TBL1', 'eventTypeId': 'GAME_SCHEDULED', 'description': 'Game Scheduled'}","{'eventIdx': 0, 'eventId': 1, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '00:00', 'periodTimeRemaining': '20:00', 'dateTime': '2021-10-12T22:45:48Z', 'goals': {'away': 0, 'home': 0}}",{},,
1,"{'event': 'Period Ready', 'eventCode': 'TBL5', 'eventTypeId': 'PERIOD_READY', 'description': 'Period Ready'}","{'eventIdx': 1, 'eventId': 5, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '00:00', 'periodTimeRemaining': '20:00', 'dateTime': '2021-10-12T23:41:26Z', 'goals': {'away': 0, 'home': 0}}",{},,
2,"{'event': 'Period Start', 'eventCode': 'TBL51', 'eventTypeId': 'PERIOD_START', 'description': 'Period Start'}","{'eventIdx': 2, 'eventId': 51, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '00:00', 'periodTimeRemaining': '20:00', 'dateTime': '2021-10-12T23:44:06Z', 'goals': {'away': 0, 'home': 0}}",{},,
3,"{'event': 'Faceoff', 'eventCode': 'TBL52', 'eventTypeId': 'FACEOFF', 'description': 'Jeff Carter faceoff won against Brayden Point'}","{'eventIdx': 3, 'eventId': 52, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '00:00', 'periodTimeRemaining': '20:00', 'dateTime': '2021-10-12T23:44:06Z', 'goals': {'away': 0, 'home': 0}}","{'x': 0.0, 'y': 0.0}","[{'player': {'id': 8470604, 'fullName': 'Jeff Carter', 'link': '/api/v1/people/8470604'}, 'playerType': 'Winner'}, {'player': {'id': 8478010, 'fullName': 'Brayden Point', 'link': '/api/v1/people/8478010'}, 'playerType': 'Loser'}]","{'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5', 'triCode': 'PIT'}"
4,"{'event': 'Hit', 'eventCode': 'TBL8', 'eventTypeId': 'HIT', 'description': 'Ondrej Palat hit Jeff Carter'}","{'eventIdx': 4, 'eventId': 8, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '00:18', 'periodTimeRemaining': '19:42', 'dateTime': '2021-10-12T23:44:24Z', 'goals': {'away': 0, 'home': 0}}","{'x': 46.0, 'y': 40.0}","[{'player': {'id': 8476292, 'fullName': 'Ondrej Palat', 'link': '/api/v1/people/8476292'}, 'playerType': 'Hitter'}, {'player': {'id': 8470604, 'fullName': 'Jeff Carter', 'link': '/api/v1/people/8470604'}, 'playerType': 'Hittee'}]","{'id': 14, 'name': 'Tampa Bay Lightning', 'link': '/api/v1/teams/14', 'triCode': 'TBL'}"
5,"{'event': 'Stoppage', 'eventCode': 'TBL9', 'eventTypeId': 'STOP', 'description': 'Puck in Netting'}","{'eventIdx': 5, 'eventId': 9, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '00:38', 'periodTimeRemaining': '19:22', 'dateTime': '2021-10-12T23:44:44Z', 'goals': {'away': 0, 'home': 0}}",{},,
6,"{'event': 'Faceoff', 'eventCode': 'TBL53', 'eventTypeId': 'FACEOFF', 'description': 'Anthony Cirelli faceoff won against Evan Rodrigues'}","{'eventIdx': 6, 'eventId': 53, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '00:38', 'periodTimeRemaining': '19:22', 'dateTime': '2021-10-12T23:45:07Z', 'goals': {'away': 0, 'home': 0}}","{'x': 0.0, 'y': 0.0}","[{'player': {'id': 8478519, 'fullName': 'Anthony Cirelli', 'link': '/api/v1/people/8478519'}, 'playerType': 'Winner'}, {'player': {'id': 8478542, 'fullName': 'Evan Rodrigues', 'link': '/api/v1/people/8478542'}, 'playerType': 'Loser'}]","{'id': 14, 'name': 'Tampa Bay Lightning', 'link': '/api/v1/teams/14', 'triCode': 'TBL'}"
7,"{'event': 'Hit', 'eventCode': 'TBL10', 'eventTypeId': 'HIT', 'description': 'Anthony Cirelli hit Marcus Pettersson'}","{'eventIdx': 7, 'eventId': 10, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '00:53', 'periodTimeRemaining': '19:07', 'dateTime': '2021-10-12T23:45:22Z', 'goals': {'away': 0, 'home': 0}}","{'x': 50.0, 'y': -39.0}","[{'player': {'id': 8478519, 'fullName': 'Anthony Cirelli', 'link': '/api/v1/people/8478519'}, 'playerType': 'Hitter'}, {'player': {'id': 8477969, 'fullName': 'Marcus Pettersson', 'link': '/api/v1/people/8477969'}, 'playerType': 'Hittee'}]","{'id': 14, 'name': 'Tampa Bay Lightning', 'link': '/api/v1/teams/14', 'triCode': 'TBL'}"
8,"{'event': 'Stoppage', 'eventCode': 'TBL11', 'eventTypeId': 'STOP', 'description': 'Goalie Stopped'}","{'eventIdx': 9, 'eventId': 11, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '01:03', 'periodTimeRemaining': '18:57', 'dateTime': '2021-10-12T23:45:32Z', 'goals': {'away': 0, 'home': 0}}",{},,
9,"{'event': 'Shot', 'eventCode': 'TBL54', 'eventTypeId': 'SHOT', 'description': 'Steven Stamkos Wrist Shot saved by Tristan Jarry', 'secondaryType': 'Wrist Shot'}","{'eventIdx': 8, 'eventId': 54, 'period': 1, 'periodType': 'REGULAR', 'ordinalNum': '1st', 'periodTime': '01:03', 'periodTimeRemaining': '18:57', 'dateTime': '2021-10-12T23:45:32Z', 'goals': {'away': 0, 'home': 0}}","{'x': 61.0, 'y': -32.0}","[{'player': {'id': 8474564, 'fullName': 'Steven Stamkos', 'link': '/api/v1/people/8474564'}, 'playerType': 'Shooter'}, {'player': {'id': 8477465, 'fullName': 'Tristan Jarry', 'link': '/api/v1/people/8477465'}, 'playerType': 'Goalie'}]","{'id': 14, 'name': 'Tampa Bay Lightning', 'link': '/api/v1/teams/14', 'triCode': 'TBL'}"
